 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cuba,30565400000.0,31682400000.0,33590500000.0,35901200000.0,38203000000.0,42643836100.0,48835925925.9,54262870370.4,56302129629.6,57481481481.5,59562962963.0,68990000000.0,73141000000.0,77148000000.0,80656100000.0,87132800000.0
Curacao,2120511229.1,2143450726.3,2160784692.7,2202117374.3,2237160502.8,2344637262.6,2457581731.8,2593831508.4,2833476145.3,2869153184.4,2951342793.3,2930092234.6,3012836257.0,3033568603.4,3059406983.2,3058779217.9
Cyprus,9985847313.9,10397898907.1,11420228846.2,14547329558.3,17320551250.0,18433412510.9,20072754986.8,23968727073.6,27844646257.5,26048179949.2,25799940077.6,27641547909.7,25047436974.7,23959712860.8,23225918260.0,19909278416.9
Czechia,62175642238.1,68135304464.0,82607869609.6,100435924704.9,120147899983.7,137264185596.1,156236258386.6,190040702286.9,236506264754.0,206971882704.7,211168667286.3,231429378717.3,210363223087.7,213024360541.1,210911285077.7,189107698561.9
Denmark,164043817223.6,164881594415.3,178788209558.3,218421193436.3,251986155630.9,265150087712.0,283386151543.7,320213157595.0,354979471960.1,322619152194.6,322345594075.5,344315595263.2,326792574245.0,344631016965.1,352832602064.5,301758922337.6
Djibouti,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684.0,847918929.1,999105339.3,1049110684.7,1128611700.4,1239144501.8,1353632941.5,2042817162.9,2214679081.3,2424391785.4
Dominica,333470370.4,340203703.7,333196296.3,343311111.1,367200000.0,364255555.6,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520429629.6,540737037.0
Dominican Republic,24305780628.7,25601823687.6,27137440786.3,21403167848.1,22322387382.5,35777560683.9,37879830084.3,43965458508.5,48122601530.3,48261078913.7,53860187258.0,58029773599.5,60681535652.5,62682159338.0,67179955677.3,71164826836.5
Ecuador,17539454727.4,23127055000.0,27054197000.0,30965208000.0,35194947000.0,40278849000.0,45690762000.0,49848725000.0,61139438000.0,60094978000.0,68151329000.0,78986648000.0,87735048000.0,96570334000.0,102717794000.0,97209558000.0
Egypt Arab Rep.,99838543960.1,96684636118.6,85146067415.7,80288461538.5,78782467532.5,89600665557.4,107426086956.5,130437828371.3,162818181818.2,189147005444.6,218983666061.7,235989672977.6,279116666666.7,288434108527.1,305595408895.3,329366576819.4
El Salvador,11784927700.0,12282533600.0,12664190300.0,13243892200.0,13724810900.0,14698000000.0,15999890000.0,17011750000.0,17986890000.0,17601620000.0,18447920000.0,20283780000.0,21386150000.0,21990960000.0,22593470000.0,23438240000.0
